File,Line,Severity,Type,Message,Rule,Creation Date
ki2pixel_switchbot:switchbot_dashboard/automation.py,570,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,python:S3776,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/automation.py,685,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 71 to the 15 allowed.,python:S3776,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,417,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 38 to the 15 allowed.,python:S3776,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,595,CRITICAL,CODE_SMELL,"Define a constant instead of duplicating this literal ""dashboard.index"" 12 times.",python:S1192,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,625,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.,python:S3776,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,771,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 39 to the 15 allowed.,python:S3776,2026-05-28T11:13:25+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/devices.js,1,MINOR,CODE_SMELL,Block is redundant.,javascript:S1199,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/devices.js,2,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/devices.js,3,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,37,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,javascript:S3776,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,86,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,86,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,88,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,89,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:45:03+0000
ki2pixel_switchbot:run_worker.py,24,CRITICAL,CODE_SMELL,Reraise this exception to stop the application as the user expects,python:S5754,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/__init__.py,111,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 37 to the 15 allowed.,python:S3776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/__init__.py,161,MAJOR,CODE_SMELL,"Use ""logging.exception()"" instead.",python:S8572,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/history_service.py,103,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,python:S3776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,857,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,python:S3776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/routes.py,862,CRITICAL,CODE_SMELL,"Define a constant instead of duplicating this literal ""Service Historique indisponible. La base de données PostgreSQL est déconnectée."" 3 times.",python:S1192,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/history.js,561,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/history.js,562,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,6,MINOR,CODE_SMELL,"`csrfMethods` should be a `Set`, and use `csrfMethods.has()` to check existence or non-existence.",javascript:S7776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,9,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,10,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,10,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,javascript:S3776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,16,MAJOR,CODE_SMELL,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",javascript:S6582,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,28,MAJOR,CODE_SMELL,'If' statement should not be the only statement in 'else' block,javascript:S6660,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,49,MAJOR,CODE_SMELL,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",javascript:S6582,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,99,MAJOR,CODE_SMELL,Prefer `.dataset` over `getAttribute(…)`.,javascript:S7761,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,208,MAJOR,CODE_SMELL,Prefer `.dataset` over `getAttribute(…)`.,javascript:S7761,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,208,MAJOR,CODE_SMELL,Prefer `.dataset` over `getAttribute(…)`.,javascript:S7761,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,244,MAJOR,CODE_SMELL,Prefer `.dataset` over `getAttribute(…)`.,javascript:S7761,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,288,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,288,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/loaders.js,289,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/perf-worker.js,12,MINOR,CODE_SMELL,Prefer `globalThis` over `self`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/perf-worker.js,12,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,javascript:S3776,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,11,MINOR,CODE_SMELL,Prefer class field declaration over `this` assignment in constructor for static values.,javascript:S7757,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,25,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,26,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,41,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,42,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,43,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,50,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,51,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,53,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,75,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,115,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,118,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,119,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,121,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,137,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
ki2pixel_switchbot:switchbot_dashboard/static/js/spa-router.js,143,MINOR,CODE_SMELL,Prefer `globalThis` over `window`.,javascript:S7764,2026-05-28T09:34:28+0000
